Pair	Merged	Type	Environment	Language	MinPairs	EntropyLoss	Freq1	Freq2
ai-oi	1	PRICE-CHOICE	Unconditioned	English(UK)	7	5	414	45
ai-ei	0	PRICE-CHOICE	Unconditioned	English(UK)	63	35	414	471
ai-au	0	PRICE-CHOICE	Unconditioned	English(UK)	19	26	414	134
ai-i:	0	PRICE-CHOICE	Unconditioned	English(UK)	76	47	414	397
I$-E$	1	rhotic 	Conditioned	English(UK)	22	15	78	89
$:-$$	1	rhotic 	Conditioned	English(UK)	14	10	166	89
I$-i:	0	rhotic 	Conditioned	English(UK)	7	12	78	397
I$-$:	0	rhotic 	Conditioned	English(UK)	11	12	78	166
I$-U$	0	rhotic 	Conditioned	English(UK)	1	6	78	23
$:-i:	0	rhotic 	Conditioned	English(UK)	21	18	166	397
$:-a:	0	rhotic 	Conditioned	English(UK)	13	11	166	250
$:-O:	0	rhotic 	Conditioned	English(UK)	26	18	166	283
$:-u:	0	rhotic 	Conditioned	English(UK)	9	10	166	266
t-d	1	flapping	Conditioned	English(US)	4	346	289	149
p-b	0	flapping	Conditioned	English(US)	2	235	105	139
f-v	0	flapping	Conditioned	English(US)	3	133	118	75
s-z	0	flapping	Conditioned	English(US)	2	86	90	161
S-Z	0	flapping	Conditioned	English(US)	0	16	99	14
C-G	0	flapping	Conditioned	English(US)	0	14	34	42
k-g	0	flapping	Conditioned	English(US)	0	198	186	58
w-W	1	wh	Unconditioned	English(US)	7	26	45	291
v-W	0	wh	Unconditioned	English(US)	1	8	45	296
f-W	0	wh	Unconditioned	English(US)	10	11	45	508
h-W	0	wh	Unconditioned	English(US)	15	18	45	244
b-W	0	wh	Unconditioned	English(US)	15	18	45	627
p-W	0	wh	Unconditioned	English(US)	12	10	45	884
a-O	1	cot-caught	Unconditioned	English(US)	5	14	535	332
U-O	0	cot-caught	Unconditioned	English(US)	6	10	94	332
$-O	0	cot-caught	Unconditioned	English(US)	11	36	1965	332
oi-$r	1	girl-goil	Unconditioned	English(US)	2	5	38	834
ai-$r	0	girl-goil	Unconditioned	English(US)	23	24	408	834
ei-$r	0	girl-goil	Unconditioned	English(US)	25	28	472	834
au-$r	0	girl-goil	Unconditioned	English(US)	9	17	143	834
ou-$r	0	girl-goil	Unconditioned	English(US)	21	24	383	834
i-$r	0	girl-goil	Unconditioned	English(US)	61	45	1024	834
u-$r	0	girl-goil	Unconditioned	English(US)	18	13	301	834
I-E	1	pin-pen	Conditioned	English(US)	8	603	464	152
ae-E	0	pin-pen	Conditioned	English(US)	9	418	201	152
