mp	lang	iter
2	Eng	2357
2	Eng	2385
3	Eng	2374
2	Eng	2377
2	Eng	2375
0	Grk	3138
1	Grk	3165
1	Grk	3132
0	Grk	3121
0	Grk	3164
2	Eng	3085
3	Eng	3117
2	Eng	3111
3	Eng	3079
2	Eng	3092
3	Grk	4256
3	Grk	4218
3	Grk	4210
3	Grk	4229
2	Grk	4256
5	Eng	3938
5	Eng	3958
4	Eng	3934
5	Eng	3985
5	Eng	3953
0	Grk	2353
0	Grk	2387
0	Grk	2332
0	Grk	2351
0	Grk	2386
1	Eng	1595
1	Eng	1591
1	Eng	1578
3	Eng	1624
2	Eng	1537
0	Grk	1856
0	Grk	1861
0	Grk	1830
0	Grk	1835
0	Grk	1848
0	Eng	1149
0	Eng	1156
1	Eng	1152
0	Eng	1153
0	Eng	1160
0	Grk	1153
0	Grk	1121
0	Grk	1130
0	Grk	1156
0	Grk	1157
