lang	iter 	mp
Eng	173	3
Eng	278	1
Eng	278	2
Eng	284	3
Eng	273	2
Eng	459	3
Eng	454	2
Eng	440	2
Eng	471	2
Eng	447	2
Eng	594	2
Eng	595	3
Eng	580	3
Eng	601	3
Eng	590	3
Eng	693	3
Eng	714	3
Eng	727	3
Eng	694	3
Eng	698	4
Eng	808	4
Eng	797	3
Eng	813	3
Eng	804	3
Eng	811	3
Eng	864	5
Eng	878	3
Eng	866	4
Eng	875	4
Eng	902	4
Grk	208	0
Grk	212	0
Grk	196	0
Grk	211	0
Grk	223	0
Grk	340	2
Grk	360	2
Grk	331	1
Grk	343	2
Grk	362	3
Grk	453	4
Grk	457	4
Grk	463	3
Grk	465	5
Grk	458	4
Grk	591	6
Grk	577	6
Grk	573	6
Grk	549	6
Grk	558	5
Grk	704	7
Grk	687	7
Grk	681	6
Grk	686	7
Grk	678	5
Grk	785	7
Grk	792	7
Grk	774	7
Grk	787	5
Grk	776	8
