lang	age	target	word	error	file	correct	child
Cantonese	2a	tsh	tshi3	tsh:$ts	c2at03f112.cha	1	03
Cantonese	3a	tsh	tsho4	tsh:$th	c3at10m121.cha	1	10
Cantonese	2a	tsh	tsha3	tsh:$th	c2at06m121.cha	1	06
Cantonese	3b	tsh	tshh4	tsh:$s	c3bt14m322.cha	1	14
Cantonese	2b	tsh	tsha5	tsh:$s	c2bt13m222.cha	1	13
Cantonese	2b	tsh	tshe3	tsh:$s	c2bt14f111.cha	1	14
Cantonese	2b	tsh	tshe3	tsh:$s	c2bt24m111.cha	1	24
Cantonese	2a	tsh	tshz4	tsh:$s	c2at07f222.cha	1	07
Cantonese	2a	kh	khui	tsh	c2at11m111.cha	1	11
Cantonese	2a	ts	tsak5	ts:$tsh	c2at05m222.cha	1	05
Cantonese	3b	ts	tsig3	ts:$t	c3bt18m112.cha	1	18
Cantonese	3b	ts	tsou3	ts:$t	c3bt14m321.cha	1	14
Cantonese	2b	ts	tsak3	ts:$t	c2bt19m121.cha	1	19
Cantonese	3b	tsh	tsht5	ts:$s	c3bt18m112.cha	1	18
Cantonese	3b	ts	tses4	ts:$s	c3bt13f121.cha	1	13
Cantonese	3a	th	thoh5	th:$tsh	c3at02f312.cha	1	02
Cantonese	2b	th	thib3	th:$t	c2bt23m111.cha	1	23
Cantonese	3b	k	kita5	th	c3bt18m112.cha	1	18
Cantonese	2a	tsh	tshz4	th	c2at01f211.cha	1	01
Cantonese	3a	t	toko4	t:$ts	c3at05f321.cha	1	05
Cantonese	2b	t	tynf5	t:$ts	c2bt20f222.cha	1	20
Cantonese	2b	t	tinw4	t:$ts	c2bt14f112.cha	1	14
Cantonese	2a	The	toek4	t:$ts	c2at03f112.cha	1	03
Cantonese	2b	overlap	tekn3	t:$th	c2bt18f121.cha	1	18
Cantonese	3a	ts	tsak3	t	c3at10m121.cha	1	10
Cantonese	3a	s	sosi5	s:deletion	c3at07m211.cha	1	07
Cantonese	2a	s	seta3	s:$tsh	c2at07f221.cha	1	07
Cantonese	2a	s	sika5	s:$tsh	c2at07f221.cha	1	07
Cantonese	3b	s	sens5	s:$f	c3bt15f222.cha	1	15
Cantonese	3b	overlap	thiz2	m	c3bt22f312.cha	m	22
Cantonese	3b	t	tynm5	m	c3bt22f312.cha	m	22
Cantonese	3b	s	saxi3	m	c3bt22f312.cha	m	22
Cantonese	3b	t	tins4	m	c3bt22f311.cha	m	22
Cantonese	3b	overlap	sosi3	m	c3bt19f112.cha	m	19
Cantonese	3a	th	thej3	m	c3at10m121.cha	m	10
Cantonese	3a	s	sosi4	m	c3at05f321.cha	m	05
Cantonese	3a	s	saxi3	m	c3at05f321.cha	m	05
Cantonese	3a	t	teks5	m	c3at05f321.cha	m	05
Cantonese	3a	ts	tses3	m	c3at07m211.cha	m	07
Cantonese	3a	ts	tsip3	m	c3at05f322.cha	m	05
Cantonese	3a	overlap	sama4	m	c3at02f311.cha	m	02
Cantonese	3a	overlap	sika4	m	c3at02f311.cha	m	02
Cantonese	3a	overlap	tins4	m	c3at02f311.cha	m	02
Cantonese	2b	ts	tsou5	m	c2bt23m111.cha	m	23
Cantonese	2b	overlap	sosi3	m	c2bt23m112.cha	m	23
Cantonese	2b	ts	tsak3	m	c2bt23m112.cha	m	23
Cantonese	2b	s	sens3	m	c2bt23m112.cha	m	23
Cantonese	2b	s	sets5	m	c2bt23m112.cha	m	23
Cantonese	2b	s	soth4	m	c2bt18f122.cha	m	18
Cantonese	2b	overlap	khok4	m	c2bt18f122.cha	m	18
Cantonese	2b	overlap	tshp4	m	c2bt18f122.cha	m	18
Cantonese	2b	overlap	tses4	m	c2bt18f121.cha	m	18
Cantonese	2a	t	tynm3	m	c2at05m221.cha	m	05
Cantonese	2a	overlap	tshn3	m	c2at05m222.cha	m	05
Cantonese	2a	overlap	saxi3	m	c2at09f312.cha	m	09
Cantonese	2a	s	sens3	m	c2at08m121.cha	m	08
Cantonese	2a	kh	khuw	m	c2at10m321.cha	m	10
Cantonese	2a	ts	tsax5	m	c2at03f112.cha	m	03
Cantonese	2a	overlap	toem5	m	c2at03f111.cha	m	03
Cantonese	2a	kwh	kwhn5	kwh:$kw	c2at11m112.cha	1	11
Cantonese	3b	kw	kwax4	kw:$w	c3bt17m211.cha	1	17
Cantonese	2b	kh	khac5	kh:$th	c2bt15f212.cha	1	15
Cantonese	3b	kh	khuw4	kh:$k	c3bt15f222.cha	1	15
Cantonese	3a	kh	khng2	kh:$k	c3at05f322.cha	1	05
Cantonese	2b	kh	khih3	kh:$k	c2bt19m122.cha	1	19
