lang	age	target	word	error	file	correct	child
Japanese	2b	tʃ	chii	tS:$tSu	j2bt19f212.cha	1	19
Japanese	2b	ðɸ	chiz	tS:$ts	j2bt24m111.cha	1	24
Japanese	2b	tʃ	chki	tS:$ts	j2bt18m211.cha	1	18
Japanese	3b	tʃ	chii	tS:$ts	j3bt24f212.cha	1	24
Japanese	3a	tʃ	chur	tS:$ts	j3at04f311.cha	1	04
Japanese	2a	tʃ	chus	tS:$ts	j2at12m112.cha	1	12
Japanese	3b	tʃ	chii	tS:$t	j3bt20f221.cha	1	20
Japanese	2a	ts	tsun	ts:$t	j2at11m211.cha	1	11
Japanese	2b	tʃ	chur	tS:$kj	j2bt16m222.cha	1	16
Japanese	2b	tʃ	chus	tS:$kj	j2bt25m312.cha	1	25
Japanese	2b	tʃ	chiz	tS:$kj	j2bt20f111.cha	1	20
Japanese	2b	tʃ	chaw	tS:$kj	j2bt18m212.cha	1	18
Japanese	2b	tʃ	chch	tS:$kj	j2bt18m211.cha	1	18
Japanese	2b	tʃ	chaw	tS:$kj	j2bt21f221.cha	1	21
Japanese	3b	tʃ	chii	tS:$kj	j3bt22f112.cha	1	22
Japanese	3a	tʃ	chaw	tS:$kj	j3at11f112.cha	1	11
Japanese	3a	tʃ	choo	tS:$kj	j3at11f111.cha	1	11
Japanese	2a	tʃ	chur	tS:$kj	j2at08m222.cha	1	08
Japanese	2b	tʃ	chaw	tS:$dZ	j2bt16m221.cha	1	16
Japanese	2b	tʃ	choo	tS:$dZ	j2bt18m211.cha	1	18
Japanese	3b	tʃ	chii	tS:$dZ	j3bt23m321.cha	1	23
Japanese	3b	ts	tsum	ts:+tT	j3bt24f212.cha	1	24
Japanese	2b	tʃ	chak	tS:+tsj	j2bt16m222.cha	1	16
Japanese	2b	tʃ	chch	tS:+tsj	j2bt24m111.cha	1	24
Japanese	2b	tʃ	chaa	tS:+tsj	j2bt24m111.cha	1	24
Japanese	2b	tʃ	chak	tS:+tsj	j2bt24m111.cha	1	24
Japanese	2b	tʃ	chak	tS:+tsj	j2bt19f211.cha	1	19
Japanese	2b	tʃ	chus	tS:+tsj	j2bt19f212.cha	1	19
Japanese	3b	tʃ	chaa	tS:+tsj	j3bt16m211.cha	1	16
Japanese	3b	tʃ	chch	tS:+tsj	j3bt23m322.cha	1	23
Japanese	3b	tʃ	choo	tS:+tsj	j3bt23m322.cha	1	23
Japanese	3a	tʃ	chaw	tS:+tsj	j3at12m312.cha	1	12
Japanese	3a	tʃ	chaa	tS:+tsj	j3at03f122.cha	1	03
Japanese	3a	tʃ	chur	tS:+tsj	j3at03f122.cha	1	03
Japanese	3a	tʃ	chki	tS:+tsj	j3at12m311.cha	1	12
Japanese	3a	tʃ	chiz	tS:+tsj	j3at12m311.cha	1	12
Japanese	3a	tʃ	chaa	tS:+tsj	j3at05m211.cha	1	05
Japanese	2a	ts	tsum	ts:+tsj	j2at07m321.cha	1	07
Japanese	2a	tʃ	chus	tS:+tsj	j2at02m312.cha	1	02
Japanese	2a	tʃ	chak	tS:+tsj	j2at07m322.cha	1	07
Japanese	3b	tʃ	chaw	tS:+tsij	j3bt23m321.cha	1	23
Japanese	2b	tʃ	chot	tS:+tj	j2bt16m221.cha	1	16
Japanese	2b	tʃ	choo	tS:+tj	j2bt16m222.cha	1	16
Japanese	2b	tʃ	choo	tS:+tj	j2bt23f322.cha	1	23
Japanese	3b	ðɸ	chaw	tS:+tj	j3bt13m121.cha	1	13
Japanese	3b	tʃ	chus	tS:+tj	j3bt20f221.cha	1	20
Japanese	3a	tʃ	choo	tS:+tj	j3at12m311.cha	1	12
Japanese	3a	tʃ	chus	tS:+tj	j3at04f312.cha	1	04
Japanese	3a	tʃ	chki	tS:+tj	j3at04f311.cha	1	04
Japanese	3a	tʃ	chak	tS:+tj	j3at04f311.cha	1	04
Japanese	3a	tʃ	chus	tS:+tj	j3at07f221.cha	1	07
Japanese	3a	tʃ	chot	tS:+tj	j3at10m321.cha	1	10
Japanese	3a	tʃ	chur	tS:+tj	j3at05m211.cha	1	05
Japanese	2a	tʃ	chki	tS:+tj	j2at11m211.cha	1	11
Japanese	2a	tʃ	chot	tS:+tj	j2at11m212.cha	1	11
Japanese	2a	tʃ	chki	tS:+tj	j2at07m322.cha	1	07
Japanese	2b	ts	tsum	ts:+T	j2bt25m312.cha	1	25
Japanese	3b	tʃ	chii	tS:#	j3bt17f221.cha	1	17
Japanese	3b	tʃ	chak	tS:#	j3bt18m122.cha	1	18
Japanese	3b	ts	tsmi	ts:#	j3bt18m121.cha	1	18
Japanese	2a	ðɸ	choo	tS:#	j2at07m322.cha	1	07
Japanese	3b	tʃ	chra	tS:	j3bt23m321.cha	1	23
Japanese	3b	t	tiis	t:tS	j3bt13m122.cha	1	13
Japanese	3b	t	tiis	t:$tS	j3bt19f211.cha	1	19
Japanese	3b	t	tiss	t:$tS	j3bt18m121.cha	1	18
Japanese	3a	t	tiss	t:$tS	j3at03f121.cha	1	03
Japanese	2b	t	toma	t:$p	j2bt23f321.cha	1	23
Japanese	2a	t	tama	t:$p	j2at11m211.cha	1	11
Japanese	2a	t	tiss	t:$p	j2at04f312.cha	1	04
Japanese	2a	t	tiis	t:$kj	j2at13f111.cha	1	13
Japanese	2b	t	temp	t:$d	j2bt23f322.cha	1	23
Japanese	3b	t	temp	t:$d	j3bt15m322.cha	1	15
Japanese	3a	t	tanp	t:$d	j3at05m212.cha	1	05
Japanese	2a	t	temp	t:$d	j2at08m222.cha	1	08
Japanese	2a	t	tiik	t:$d	j2at02m311.cha	1	02
Japanese	3b	t	toof	t:+tX	j3bt22f112.cha	1	22
Japanese	2b	t	tora	t:+tr	j2bt18m211.cha	1	18
Japanese	2b	t	tako	t:+tj	j2bt15f311.cha	1	15
Japanese	2b	t	tega	t:+tj	j2bt20f112.cha	1	20
Japanese	2b	t	tako	t:+tj	j2bt23f322.cha	1	23
Japanese	3b	t	tanp	t:+tj	j3bt24f212.cha	1	24
Japanese	2a	ðɸ	tega	t:+tj	j2at14m121.cha	1	14
Japanese	2a	t	temp	t:+tj	j2at14m122.cha	1	14
Japanese	2a	t	tama	t:+tj	j2at01f322.cha	1	01
Japanese	2b	t	toma	t:+T	j2bt19f212.cha	1	19
Japanese	3b	t	toma	t:#	j3bt23m321.cha	1	23
Japanese	3a	d	denk	t	j3at11f112.cha	1	11
Japanese	3b	ʃ	shuk	S:$tS	j3bt19f212.cha	1	19
Japanese	3b	ʃ	shaw	S:$tS	j3bt19f212.cha	1	19
Japanese	3b	s	saka	s:$ts	j3bt19f211.cha	1	19
Japanese	3b	ʃ	shob	S:$tS	j3bt23m321.cha	1	23
Japanese	3b	ʃ	shuz	S:$tS	j3bt22f111.cha	1	22
Japanese	3a	ʃ	shok	S:$tS	j3at12m312.cha	1	12
Japanese	2a	ʃ	shin	S:$tS	j2at11m212.cha	1	11
Japanese	2a	s	sudz	s:$ts	j2at07m322.cha	1	07
Japanese	2a	ʃ	shmo	S:$tS	j2at06f212.cha	1	06
Japanese	2b	ʃ	shuz	S:$Si	j2bt15f311.cha	1	15
Japanese	2b	s	saru	s:$S	j2bt20f112.cha	1	20
Japanese	2b	s	saka	s:$S	j2bt19f211.cha	1	19
Japanese	2b	s	sudz	s:$S	j2bt21f222.cha	1	21
Japanese	3b	s	saku	s:$S	j3bt13m122.cha	1	13
Japanese	3b	ʃ	shuz	S:$s	j3bt13m122.cha	1	13
Japanese	3b	ʃ	shoy	S:$s	j3bt21m111.cha	1	21
Japanese	3b	s	suik	s:$S	j3bt25m311.cha	1	25
Japanese	3a	ʃ	shob	S:$s	j3at03f121.cha	1	03
Japanese	3a	ʃ	shin	S:$s	j3at11f112.cha	1	11
Japanese	2a	s	saru	s:$S	j2at08m221.cha	1	08
Japanese	2a	s	sudz	s:$S	j2at08m222.cha	1	08
Japanese	2a	ʃ	shuk	S:$s	j2at07m321.cha	1	07
Japanese	2b	ʃ	shim	S:$C	j2bt23f322.cha	1	23
Japanese	2b	ʃ	shuk	S:$C	j2bt23f321.cha	1	23
Japanese	2b	ʃ	shii	S:$C	j2bt21f221.cha	1	21
Japanese	3b	ʃ	shim	S:$C	j3bt16m211.cha	1	16
Japanese	3a	ʃ	shmo	S:$C	j3at11f112.cha	1	11
Japanese	3a	ʃ	shmp	S:$C	j3at11f111.cha	1	11
Japanese	3a	ʃ	shii	S:$C	j3at02f112.cha	1	02
Japanese	2a	ʃ	shuk	S:$C	j2at08m221.cha	1	08
Japanese	2a	ʃ	shin	S:$C	j2at08m221.cha	1	08
Japanese	2a	ʃ	shii	S:$C	j2at11m212.cha	1	11
Japanese	2a	ʃ	shob	S:$C	j2at02m312.cha	1	02
Japanese	2a	ʃ	shaw	S:$C	j2at02m312.cha	1	02
Japanese	2b	s	sens	s:+T	j2bt25m312.cha	1	25
Japanese	3b	s	sudz	s:+T	j3bt21m111.cha	1	21
Japanese	3b	s	suik	s:+T	j3bt16m211.cha	1	16
Japanese	3b	s	sena	s:+T	j3bt18m122.cha	1	18
Japanese	3a	s	sens	s:+T	j3at10m321.cha	1	10
Japanese	2b	ʃ	shmp	S:+sr	j2bt23f322.cha	1	23
Japanese	2b	ʃ	shok	S:+sj	j2bt16m221.cha	1	16
Japanese	2b	ʃ	shob	S:+sj	j2bt24m112.cha	1	24
Japanese	3b	ʃ	shmp	S:+sj	j3bt18m122.cha	1	18
Japanese	3b	ʃ	shuk	S:+sj	j3bt18m121.cha	1	18
Japanese	3b	ʃ	shob	S:+sj	j3bt18m121.cha	1	18
Japanese	3b	ʃ	shok	S:+sj	j3bt23m321.cha	1	23
Japanese	3b	s	saku	s:+sj	j3bt23m322.cha	1	23
Japanese	3a	ʃ	shmo	S:+sj	j3at12m312.cha	1	12
Japanese	3a	ðɸ	sokk	s:+sj	j3at12m311.cha	1	12
Japanese	3a	s	sokk	s:+sj	j3at04f311.cha	1	04
Japanese	2a	ʃ	shuz	S:+sj	j2at11m211.cha	1	11
Japanese	2a	ʃ	shmo	S:+sj	j2at07m321.cha	1	07
Japanese	2a	ʃ	shuz	S:+sj	j2at07m322.cha	1	07
Japanese	3b	ʃ	shii	S:+kS	j3bt16m212.cha	1	16
Japanese	2a	ðɸ	suna	s:+ks	j2at11m212.cha	1	11
Japanese	3a	ʃ	shmp	S:+kjS	j3at02f111.cha	1	02
Japanese	3b	ʃ	shuz	S:+Csj	j3bt18m122.cha	1	18
Japanese	3b	ʃ	shoy	S:+Csj	j3bt23m322.cha	1	23
Japanese	2b	ʃ	shum	S:+CS	j2bt20f112.cha	1	20
Japanese	3b	ʃ	shuk	S:+CS	j3bt17f221.cha	1	17
Japanese	3b	ʃ	shoy	S:+CS	j3bt18m122.cha	1	18
Japanese	3a	ʃ	shmp	S:+CS	j3at11f111.cha	1	11
Japanese	3b	ʃ	shob	S:#	j3bt17f221.cha	1	17
Japanese	3b	ʃ	shmo	S:#	j3bt17f221.cha	1	17
Japanese	3b	s	sudz	s:#	j3bt17f222.cha	1	17
Japanese	3b	ʃ	shim	S:#	j3bt18m122.cha	1	18
Japanese	2b	tʃ	chii	m	j2bt16m221.cha	m	16
Japanese	2b	ðɸ	tsun	m	j2bt16m222.cha	m	16
Japanese	2b	d	dong	m	j2bt15f311.cha	m	15
Japanese	2b	s	saku	m	j2bt15f311.cha	m	15
Japanese	2b	ʃ	shaw	m	j2bt24m112.cha	m	24
Japanese	2b	d	daru	m	j2bt24m112.cha	m	24
Japanese	2b	ʃ	shoy	m	j2bt19f211.cha	m	19
Japanese	2b	s	saku	m	j2bt19f211.cha	m	19
Japanese	2b	ʃ	shuz	m	j2bt23f322.cha	m	23
Japanese	2b	s	suna	m	j2bt23f321.cha	m	23
Japanese	3b	ʃ	shin	m	j3bt23m321.cha	m	23
Japanese	3b	ʃ	shmo	m	j3bt23m321.cha	m	23
Japanese	3b	s	sena	m	j3bt23m322.cha	m	23
Japanese	3b	ðɸ	genk	m	j3bt23m322.cha	m	23
Japanese	3a	s	sens	m	j3at12m312.cha	m	12
Japanese	3a	dz	zuka	m	j3at12m312.cha	m	12
Japanese	3a	s	sudz	m	j3at03f122.cha	m	03
Japanese	3a	s	sudz	m	j3at12m311.cha	m	12
Japanese	3a	s	sens	m	j3at04f312.cha	m	04
Japanese	3a	ʃ	shob	m	j3at04f312.cha	m	04
Japanese	3a	dz	zuru	m	j3at04f311.cha	m	04
Japanese	3a	s	sena	m	j3at04f311.cha	m	04
Japanese	3a	ʃ	shum	m	j3at07f221.cha	m	07
Japanese	3a	s	saka	m	j3at10m322.cha	m	10
Japanese	2a	k	kodo	m	j2at13f111.cha	m	13
Japanese	2a	tʃ	chiz	m	j2at13f111.cha	m	13
Japanese	2a	dʒ	juus	m	j2at13f111.cha	m	13
Japanese	2a	t	tanp	m	j2at13f112.cha	m	13
Japanese	2a	s	sudz	m	j2at11m211.cha	m	11
Japanese	2a	ʃ	shoy	m	j2at11m211.cha	m	11
Japanese	2a	tʃ	chiz	m	j2at11m211.cha	m	11
Japanese	2a	ðɸ	chra	m	j2at11m212.cha	m	11
Japanese	2a	g	geta	m	j2at02m312.cha	m	02
Japanese	2a	ʃ	shoy	m	j2at12m111.cha	m	12
Japanese	2a	ʃ	shob	m	j2at14m121.cha	m	14
Japanese	2a	ts	tsum	m	j2at06f212.cha	m	06
Japanese	2a	s	soos	m	j2at14m122.cha	m	14
Japanese	2a	tʃ	chak	m	j2at14m122.cha	m	14
Japanese	2a	s	sudz	m	j2at06f211.cha	m	06
Japanese	2a	ʃ	shim	m	j2at04f311.cha	m	04
Japanese	2a	d	depa	m	j2at01f322.cha	m	01
Japanese	2a	t	tega	m	j2at04f312.cha	m	04
Japanese	2a	k	kara	m	j2at04f312.cha	m	04
Japanese	3a	kʲ	kyap	kj$kji	j3at11f111.cha	1	11
Japanese	2b	kʲ	kiri	kj:$tS	j2bt15f311.cha	1	15
Japanese	3b	kʲ	kyky	kj:$tS	j3bt13m121.cha	1	13
Japanese	3b	kʲ	kyur	kj:$tS	j3bt13m121.cha	1	13
Japanese	3b	kʲ	kyuu	kj:$tS	j3bt19f211.cha	1	19
Japanese	3b	kʲ	kyab	kj:$tS	j3bt16m211.cha	1	16
Japanese	3b	kʲ	kiri	kj:$tS	j3bt16m211.cha	1	16
Japanese	3b	kʲ	kiir	kj:$tS	j3bt16m212.cha	1	16
Japanese	3a	kʲ	kyos	kj:$tS	j3at03f122.cha	1	03
Japanese	3a	kʲ	kyod	kj:$tS	j3at11f111.cha	1	11
Japanese	3a	kʲ	kyab	kj:$tS	j3at02f111.cha	1	02
Japanese	3a	kʲ	kimo	kj:$t	j3at04f312.cha	1	04
Japanese	2a	kʲ	kiir	kj:$t	j2at11m212.cha	1	11
Japanese	3b	kʲ	kyor	kj:$kji	j3bt17f221.cha	1	17
Japanese	3b	kʲ	kyur	kj:$kji	j3bt23m321.cha	1	23
Japanese	2b	kʲ	kiri	kj:$k	j2bt25m311.cha	1	25
Japanese	2b	kʲ	kiir	kj:$k	j2bt25m312.cha	1	25
Japanese	2a	kʲ	kimo	kj:$gj	j2at06f212.cha	1	06
Japanese	2a	kʲ	kyur	kj:$gj	j2at01f321.cha	1	01
Japanese	3a	kʲ	kyap	kj:$C	j3at12m311.cha	1	12
Japanese	2a	kʲ	kiir	kj:$C	j2at08m221.cha	1	08
Japanese	3b	kʲ	kyab	kj:+tj	j3bt19f211.cha	1	19
Japanese	2a	kʲ	kyor	kj:+tj	j2at13f112.cha	1	13
Japanese	2a	kʲ	kyur	kj:+tj	j2at04f312.cha	1	04
Japanese	2a	kʲ	kyod	kj:+kx	j2at01f322.cha	1	01
